Subject,Filename,Onset,Apex,Offset,AU,Objective class,emotion,label_for_7,label_for_3,imagename_apex,imagename_onset,imagename_apex_offset
spNO.160,e,1749,1752,1758,4,III,surprise,2,2,spNO.160/e/color/1752.jpg,spNO.160/e/color/1749.jpg,spNO.160/e/color/1758.jpg
spNO.160,e,2093,2101,2113,18,VII,surprise,2,2,spNO.160/e/color/2101.jpg,spNO.160/e/color/2093.jpg,spNO.160/e/color/2113.jpg
spNO.160,e,2569,2574,2580,4,III,surprise,2,2,spNO.160/e/color/2574.jpg,spNO.160/e/color/2569.jpg,spNO.160/e/color/2580.jpg
spNO.160,f,569,576,586,2+1,II,surprise,2,2,spNO.160/f/color/576.jpg,spNO.160/f/color/569.jpg,spNO.160/f/color/586.jpg
spNO.160,f,1833,1841,1872,2+1,II,fear,5,0,spNO.160/f/color/1841.jpg,spNO.160/f/color/1833.jpg,spNO.160/f/color/1872.jpg
spNO.160,f,2218,2222,2234,4,III,fear,5,0,spNO.160/f/color/2222.jpg,spNO.160/f/color/2218.jpg,spNO.160/f/color/2234.jpg
spNO.160,g,440,448,457,4,III,sad,3,0,spNO.160/g/color/448.jpg,spNO.160/g/color/440.jpg,spNO.160/g/color/457.jpg
spNO.160,g,1786,1792,1805,14,VII,anger,6,0,spNO.160/g/color/1792.jpg,spNO.160/g/color/1786.jpg,spNO.160/g/color/1805.jpg
spNO.160,h,481,488,494,4,III,sad,3,0,spNO.160/h/color/488.jpg,spNO.160/h/color/481.jpg,spNO.160/h/color/494.jpg
spNO.160,h,694,698,715,4,III,sad,3,0,spNO.160/h/color/698.jpg,spNO.160/h/color/694.jpg,spNO.160/h/color/715.jpg
spNO.160,h,1575,1583,1594,4,III,sad,3,0,spNO.160/h/color/1583.jpg,spNO.160/h/color/1575.jpg,spNO.160/h/color/1594.jpg
spNO.160,h,2816,2824,2837,14,VII,anger,6,0,spNO.160/h/color/2824.jpg,spNO.160/h/color/2816.jpg,spNO.160/h/color/2837.jpg
spNO.160,i,1270,1276,1281,4,III,disgust,4,0,spNO.160/i/color/1276.jpg,spNO.160/i/color/1270.jpg,spNO.160/i/color/1281.jpg
spNO.160,i,1281,1286,1298,2+1,II,surprise,2,2,spNO.160/i/color/1286.jpg,spNO.160/i/color/1281.jpg,spNO.160/i/color/1298.jpg
spNO.160,i,1311,1316,1321,5,II,surprise,2,2,spNO.160/i/color/1316.jpg,spNO.160/i/color/1311.jpg,spNO.160/i/color/1321.jpg
spNO.160,i,1418,1425,1482,4,III,disgust,4,0,spNO.160/i/color/1425.jpg,spNO.160/i/color/1418.jpg,spNO.160/i/color/1482.jpg
spNO.160,i,1642,1649,1685,14,VII,anger,6,0,spNO.160/i/color/1649.jpg,spNO.160/i/color/1642.jpg,spNO.160/i/color/1685.jpg
spNO.160,i,1762,1765,1773,18+4,VII,disgust,4,0,spNO.160/i/color/1765.jpg,spNO.160/i/color/1762.jpg,spNO.160/i/color/1773.jpg
spNO.160,i,1874,1881,1894,4,III,disgust,4,0,spNO.160/i/color/1881.jpg,spNO.160/i/color/1874.jpg,spNO.160/i/color/1894.jpg
spNO.160,i,1940,1948,1955,38+4,III,disgust,4,0,spNO.160/i/color/1948.jpg,spNO.160/i/color/1940.jpg,spNO.160/i/color/1955.jpg
spNO.160,i,2670,2676,2687,4,III,disgust,4,0,spNO.160/i/color/2676.jpg,spNO.160/i/color/2670.jpg,spNO.160/i/color/2687.jpg
spNO.160,i,3174,3179,3187,2+1,II,surprise,2,2,spNO.160/i/color/3179.jpg,spNO.160/i/color/3174.jpg,spNO.160/i/color/3187.jpg
spNO.160,i,3307,3314,3329,4,III,disgust,4,0,spNO.160/i/color/3314.jpg,spNO.160/i/color/3307.jpg,spNO.160/i/color/3329.jpg
spNO.160,i,3403,3409,3418,4,III,disgust,4,0,spNO.160/i/color/3409.jpg,spNO.160/i/color/3403.jpg,spNO.160/i/color/3418.jpg
spNO.160,i,3674,3680,3695,4,III,disgust,4,0,spNO.160/i/color/3680.jpg,spNO.160/i/color/3674.jpg,spNO.160/i/color/3695.jpg
spNO.160,i,3733,3741,3756,4,III,disgust,4,0,spNO.160/i/color/3741.jpg,spNO.160/i/color/3733.jpg,spNO.160/i/color/3756.jpg
spNO.160,i,3770,3776,3788,4,III,disgust,4,0,spNO.160/i/color/3776.jpg,spNO.160/i/color/3770.jpg,spNO.160/i/color/3788.jpg
spNO.160,i,3985,3990,3997,4,III,disgust,4,0,spNO.160/i/color/3990.jpg,spNO.160/i/color/3985.jpg,spNO.160/i/color/3997.jpg
spNO.160,i,4160,4168,4175,17+4,VII,disgust,4,0,spNO.160/i/color/4168.jpg,spNO.160/i/color/4160.jpg,spNO.160/i/color/4175.jpg
spNO.160,j,1623,1627,1634,4,III,disgust,4,0,spNO.160/j/color/1627.jpg,spNO.160/j/color/1623.jpg,spNO.160/j/color/1634.jpg
spNO.160,k,2426,2433,2450,4,III,disgust,4,0,spNO.160/k/color/2433.jpg,spNO.160/k/color/2426.jpg,spNO.160/k/color/2450.jpg
spNO.160,k,2754,2760,2774,15,V,happy,1,1,spNO.160/k/color/2760.jpg,spNO.160/k/color/2754.jpg,spNO.160/k/color/2774.jpg
spNO.160,l,79,85,93,4,III,sad,3,0,spNO.160/l/color/85.jpg,spNO.160/l/color/79.jpg,spNO.160/l/color/93.jpg
spNO.160,l,1091,1099,1111,2+1,II,surprise,2,2,spNO.160/l/color/1099.jpg,spNO.160/l/color/1091.jpg,spNO.160/l/color/1111.jpg
spNO.160,l,1278,1284,1291,4,III,sad,3,0,spNO.160/l/color/1284.jpg,spNO.160/l/color/1278.jpg,spNO.160/l/color/1291.jpg
spNO.160,m,36,43,49,4,III,disgust,4,0,spNO.160/m/color/43.jpg,spNO.160/m/color/36.jpg,spNO.160/m/color/49.jpg
spNO.160,m,1261,1267,1282,4,III,disgust,4,0,spNO.160/m/color/1267.jpg,spNO.160/m/color/1261.jpg,spNO.160/m/color/1282.jpg
spNO.160,m,1286,1294,1302,4,III,disgust,4,0,spNO.160/m/color/1294.jpg,spNO.160/m/color/1286.jpg,spNO.160/m/color/1302.jpg
spNO.161,f,1572,1579,1599,2+1,II,surprise,2,2,spNO.161/f/color/1579.jpg,spNO.161/f/color/1572.jpg,spNO.161/f/color/1599.jpg
spNO.162,b,1056,1060,1067,4,III,disgust,4,0,spNO.162/b/color/1060.jpg,spNO.162/b/color/1056.jpg,spNO.162/b/color/1067.jpg
spNO.162,c,3059,3067,3077,4,III,disgust,4,0,spNO.162/c/color/3067.jpg,spNO.162/c/color/3059.jpg,spNO.162/c/color/3077.jpg
spNO.162,d,26,33,49,14,VII,surprise,2,2,spNO.162/d/color/33.jpg,spNO.162/d/color/26.jpg,spNO.162/d/color/49.jpg
spNO.162,i,1663,1666,1673,4,III,disgust,4,0,spNO.162/i/color/1666.jpg,spNO.162/i/color/1663.jpg,spNO.162/i/color/1673.jpg
spNO.162,i,3898,3900,3932,14,VII,anger,6,0,spNO.162/i/color/3900.jpg,spNO.162/i/color/3898.jpg,spNO.162/i/color/3932.jpg
spNO.162,i,4008,4010,4016,4,III,disgust,4,0,spNO.162/i/color/4010.jpg,spNO.162/i/color/4008.jpg,spNO.162/i/color/4016.jpg
spNO.162,i,4177,4184,4192,4,III,disgust,4,0,spNO.162/i/color/4184.jpg,spNO.162/i/color/4177.jpg,spNO.162/i/color/4192.jpg
spNO.162,m,191,197,206,4,III,disgust,4,0,spNO.162/m/color/197.jpg,spNO.162/m/color/191.jpg,spNO.162/m/color/206.jpg
spNO.163,e,600,607,618,R14,VII,happy,1,1,spNO.163/e/color/607.jpg,spNO.163/e/color/600.jpg,spNO.163/e/color/618.jpg
spNO.165,a,728,736,790,17,VII,disgust,4,0,spNO.165/a/color/736.jpg,spNO.165/a/color/728.jpg,spNO.165/a/color/790.jpg
spNO.165,b,31,38,52,4,III,disgust,4,0,spNO.165/b/color/38.jpg,spNO.165/b/color/31.jpg,spNO.165/b/color/52.jpg
spNO.165,c,447,453,462,17+14,VII,surprise,2,2,spNO.165/c/color/453.jpg,spNO.165/c/color/447.jpg,spNO.165/c/color/462.jpg
spNO.165,c,945,949,954,2+1,II,disgust,4,0,spNO.165/c/color/949.jpg,spNO.165/c/color/945.jpg,spNO.165/c/color/954.jpg
spNO.165,e,7,11,19,4,III,disgust,4,0,spNO.165/e/color/11.jpg,spNO.165/e/color/7.jpg,spNO.165/e/color/19.jpg
spNO.165,f,2154,2160,2313,4,III,fear,5,0,spNO.165/f/color/2160.jpg,spNO.165/f/color/2154.jpg,spNO.165/f/color/2313.jpg
spNO.165,g,2539,2542,2549,L14,VII,anger,6,0,spNO.165/g/color/2542.jpg,spNO.165/g/color/2539.jpg,spNO.165/g/color/2549.jpg
spNO.165,j,78,86,116,4,III,disgust,4,0,spNO.165/j/color/86.jpg,spNO.165/j/color/78.jpg,spNO.165/j/color/116.jpg
spNO.165,k,2024,2031,2039,9+6+4,VII,disgust,4,0,spNO.165/k/color/2031.jpg,spNO.165/k/color/2024.jpg,spNO.165/k/color/2039.jpg
spNO.166,b,68,74,326,2+1,II,surprise,2,2,spNO.166/b/color/74.jpg,spNO.166/b/color/68.jpg,spNO.166/b/color/326.jpg
spNO.166,l,2573,2579,2628,1,V,surprise,2,2,spNO.166/l/color/2579.jpg,spNO.166/l/color/2573.jpg,spNO.166/l/color/2628.jpg
spNO.167,h,85,92,103,2+1,II,surprise,2,2,spNO.167/h/color/92.jpg,spNO.167/h/color/85.jpg,spNO.167/h/color/103.jpg
spNO.167,j,69,76,84,4,III,disgust,4,0,spNO.167/j/color/76.jpg,spNO.167/j/color/69.jpg,spNO.167/j/color/84.jpg
spNO.167,j,418,422,437,2+1,II,surprise,2,2,spNO.167/j/color/422.jpg,spNO.167/j/color/418.jpg,spNO.167/j/color/437.jpg
spNO.167,j,1692,1697,1705,2+1,II,surprise,2,2,spNO.167/j/color/1697.jpg,spNO.167/j/color/1692.jpg,spNO.167/j/color/1705.jpg
spNO.169,b,91,99,188,R2,VII,surprise,2,2,spNO.169/b/color/99.jpg,spNO.169/b/color/91.jpg,spNO.169/b/color/188.jpg
spNO.169,c,149,156,188,1+2,II,surprise,2,2,spNO.169/c/color/156.jpg,spNO.169/c/color/149.jpg,spNO.169/c/color/188.jpg
spNO.169,c,2049,2053,2065,16,VII,surprise,2,2,spNO.169/c/color/2053.jpg,spNO.169/c/color/2049.jpg,spNO.169/c/color/2065.jpg
spNO.169,d,747,751,774,24,VII,surprise,2,2,spNO.169/d/color/751.jpg,spNO.169/d/color/747.jpg,spNO.169/d/color/774.jpg
spNO.169,d,3115,3122,3165,R2,VII,surprise,2,2,spNO.169/d/color/3122.jpg,spNO.169/d/color/3115.jpg,spNO.169/d/color/3165.jpg
spNO.169,h,1322,1328,1363,24,VII,disgust,4,0,spNO.169/h/color/1328.jpg,spNO.169/h/color/1322.jpg,spNO.169/h/color/1363.jpg
spNO.169,i,379,384,388,24,VII,disgust,4,0,spNO.169/i/color/384.jpg,spNO.169/i/color/379.jpg,spNO.169/i/color/388.jpg
spNO.169,i,1088,1093,1104,24,VII,disgust,4,0,spNO.169/i/color/1093.jpg,spNO.169/i/color/1088.jpg,spNO.169/i/color/1104.jpg
spNO.169,i,1647,1653,1665,24,VII,disgust,4,0,spNO.169/i/color/1653.jpg,spNO.169/i/color/1647.jpg,spNO.169/i/color/1665.jpg
spNO.169,j,123,129,192,7,VII,disgust,4,0,spNO.169/j/color/129.jpg,spNO.169/j/color/123.jpg,spNO.169/j/color/192.jpg
spNO.169,k,1782,1790,1816,4+R2,VII,surprise,2,2,spNO.169/k/color/1790.jpg,spNO.169/k/color/1782.jpg,spNO.169/k/color/1816.jpg
spNO.169,l,1424,1429,1487,24,VII,disgust,4,0,spNO.169/l/color/1429.jpg,spNO.169/l/color/1424.jpg,spNO.169/l/color/1487.jpg
spNO.169,m,817,825,846,4,III,disgust,4,0,spNO.169/m/color/825.jpg,spNO.169/m/color/817.jpg,spNO.169/m/color/846.jpg
spNO.169,m,1589,1594,1616,6+4,VII,disgust,4,0,spNO.169/m/color/1594.jpg,spNO.169/m/color/1589.jpg,spNO.169/m/color/1616.jpg
spNO.17,a,127,135,175,2+1,II,surprise,2,2,spNO.17/a/color/135.jpg,spNO.17/a/color/127.jpg,spNO.17/a/color/175.jpg
spNO.17,m,1128,1136,1140,24+9+4,VII,disgust,4,0,spNO.17/m/color/1136.jpg,spNO.17/m/color/1128.jpg,spNO.17/m/color/1140.jpg
spNO.170,m,2593,2601,2641,14,VII,anger,6,0,spNO.170/m/color/2601.jpg,spNO.170/m/color/2593.jpg,spNO.170/m/color/2641.jpg
spNO.171,a,226,230,234,4,III,disgust,4,0,spNO.171/a/color/230.jpg,spNO.171/a/color/226.jpg,spNO.171/a/color/234.jpg
spNO.171,b,138,146,193,14,VII,surprise,2,2,spNO.171/b/color/146.jpg,spNO.171/b/color/138.jpg,spNO.171/b/color/193.jpg
spNO.171,c,810,815,835,4,III,fear,5,0,spNO.171/c/color/815.jpg,spNO.171/c/color/810.jpg,spNO.171/c/color/835.jpg
spNO.171,d,48,56,63,4,III,fear,5,0,spNO.171/d/color/56.jpg,spNO.171/d/color/48.jpg,spNO.171/d/color/63.jpg
spNO.171,d,274,280,304,4,III,fear,5,0,spNO.171/d/color/280.jpg,spNO.171/d/color/274.jpg,spNO.171/d/color/304.jpg
spNO.171,d,542,548,552,4,III,fear,5,0,spNO.171/d/color/548.jpg,spNO.171/d/color/542.jpg,spNO.171/d/color/552.jpg
spNO.171,d,1666,1674,1684,4,III,fear,5,0,spNO.171/d/color/1674.jpg,spNO.171/d/color/1666.jpg,spNO.171/d/color/1684.jpg
spNO.171,d,2163,2170,2178,4,III,fear,5,0,spNO.171/d/color/2170.jpg,spNO.171/d/color/2163.jpg,spNO.171/d/color/2178.jpg
spNO.171,e,2403,2407,2441,6,I,surprise,2,2,spNO.171/e/color/2407.jpg,spNO.171/e/color/2403.jpg,spNO.171/e/color/2441.jpg
spNO.171,e,2825,2827,2856,6,I,surprise,2,2,spNO.171/e/color/2827.jpg,spNO.171/e/color/2825.jpg,spNO.171/e/color/2856.jpg
spNO.171,f,668,674,705,4,III,fear,5,0,spNO.171/f/color/674.jpg,spNO.171/f/color/668.jpg,spNO.171/f/color/705.jpg
spNO.171,f,2151,2158,2201,4,III,fear,5,0,spNO.171/f/color/2158.jpg,spNO.171/f/color/2151.jpg,spNO.171/f/color/2201.jpg
spNO.171,g,96,99,103,4,III,disgust,4,0,spNO.171/g/color/99.jpg,spNO.171/g/color/96.jpg,spNO.171/g/color/103.jpg
spNO.171,g,1604,1612,1653,1,V,sad,3,0,spNO.171/g/color/1612.jpg,spNO.171/g/color/1604.jpg,spNO.171/g/color/1653.jpg
spNO.171,g,1882,1886,1892,4,III,disgust,4,0,spNO.171/g/color/1886.jpg,spNO.171/g/color/1882.jpg,spNO.171/g/color/1892.jpg
spNO.171,g,2298,2306,2335,4,III,disgust,4,0,spNO.171/g/color/2306.jpg,spNO.171/g/color/2298.jpg,spNO.171/g/color/2335.jpg
spNO.171,h,163,166,173,4,III,disgust,4,0,spNO.171/h/color/166.jpg,spNO.171/h/color/163.jpg,spNO.171/h/color/173.jpg
spNO.171,h,1340,1347,1363,4,III,disgust,4,0,spNO.171/h/color/1347.jpg,spNO.171/h/color/1340.jpg,spNO.171/h/color/1363.jpg
spNO.171,h,1890,1897,1915,4,III,disgust,4,0,spNO.171/h/color/1897.jpg,spNO.171/h/color/1890.jpg,spNO.171/h/color/1915.jpg
spNO.171,h,2941,2948,2963,4,III,disgust,4,0,spNO.171/h/color/2948.jpg,spNO.171/h/color/2941.jpg,spNO.171/h/color/2963.jpg
spNO.171,h,3202,3208,3236,4,III,disgust,4,0,spNO.171/h/color/3208.jpg,spNO.171/h/color/3202.jpg,spNO.171/h/color/3236.jpg
spNO.171,l,933,941,982,1,V,sad,3,0,spNO.171/l/color/941.jpg,spNO.171/l/color/933.jpg,spNO.171/l/color/982.jpg
spNO.171,l,1625,1632,1638,4,III,disgust,4,0,spNO.171/l/color/1632.jpg,spNO.171/l/color/1625.jpg,spNO.171/l/color/1638.jpg
spNO.171,l,1758,1763,1769,4,III,disgust,4,0,spNO.171/l/color/1763.jpg,spNO.171/l/color/1758.jpg,spNO.171/l/color/1769.jpg
spNO.171,l,3553,3559,3569,4,III,disgust,4,0,spNO.171/l/color/3559.jpg,spNO.171/l/color/3553.jpg,spNO.171/l/color/3569.jpg
spNO.171,l,3881,3887,3900,4,III,disgust,4,0,spNO.171/l/color/3887.jpg,spNO.171/l/color/3881.jpg,spNO.171/l/color/3900.jpg
spNO.171,m,8,12,55,14,VII,anger,6,0,spNO.171/m/color/12.jpg,spNO.171/m/color/8.jpg,spNO.171/m/color/55.jpg
spNO.171,m,677,685,723,1,V,anger,6,0,spNO.171/m/color/685.jpg,spNO.171/m/color/677.jpg,spNO.171/m/color/723.jpg
spNO.171,m,1865,1872,1888,4,III,disgust,4,0,spNO.171/m/color/1872.jpg,spNO.171/m/color/1865.jpg,spNO.171/m/color/1888.jpg
spNO.171,m,2213,2221,2256,L14,VII,anger,6,0,spNO.171/m/color/2221.jpg,spNO.171/m/color/2213.jpg,spNO.171/m/color/2256.jpg
spNO.171,m,2469,2474,2485,4,III,disgust,4,0,spNO.171/m/color/2474.jpg,spNO.171/m/color/2469.jpg,spNO.171/m/color/2485.jpg
spNO.172,b,938,945,978,12,I,disgust,4,0,spNO.172/b/color/945.jpg,spNO.172/b/color/938.jpg,spNO.172/b/color/978.jpg
spNO.172,f,293,301,319,14,VII,fear,5,0,spNO.172/f/color/301.jpg,spNO.172/f/color/293.jpg,spNO.172/f/color/319.jpg
spNO.172,f,1933,1935,1941,R12,I,fear,5,0,spNO.172/f/color/1935.jpg,spNO.172/f/color/1933.jpg,spNO.172/f/color/1941.jpg
spNO.172,h,206,214,219,R10,IV,anger,6,0,spNO.172/h/color/214.jpg,spNO.172/h/color/206.jpg,spNO.172/h/color/219.jpg
spNO.172,h,840,847,862,L14,VII,sad,3,0,spNO.172/h/color/847.jpg,spNO.172/h/color/840.jpg,spNO.172/h/color/862.jpg
spNO.172,i,538,543,566,2+1,II,surprise,2,2,spNO.172/i/color/543.jpg,spNO.172/i/color/538.jpg,spNO.172/i/color/566.jpg
spNO.172,k,89,96,108,14,VII,happy,1,1,spNO.172/k/color/96.jpg,spNO.172/k/color/89.jpg,spNO.172/k/color/108.jpg
spNO.172,k,1877,1882,1891,18,VII,happy,1,1,spNO.172/k/color/1882.jpg,spNO.172/k/color/1877.jpg,spNO.172/k/color/1891.jpg
spNO.172,k,1898,1903,1908,R10,IV,disgust,4,0,spNO.172/k/color/1903.jpg,spNO.172/k/color/1898.jpg,spNO.172/k/color/1908.jpg
spNO.172,l,1617,1623,1631,4,III,disgust,4,0,spNO.172/l/color/1623.jpg,spNO.172/l/color/1617.jpg,spNO.172/l/color/1631.jpg
spNO.174,e,442,450,469,10+4,VII,disgust,4,0,spNO.174/e/color/450.jpg,spNO.174/e/color/442.jpg,spNO.174/e/color/469.jpg
spNO.174,j,205,212,221,14,VII,happy,1,1,spNO.174/j/color/212.jpg,spNO.174/j/color/205.jpg,spNO.174/j/color/221.jpg
spNO.174,k,12,14,35,14,VII,happy,1,1,spNO.174/k/color/14.jpg,spNO.174/k/color/12.jpg,spNO.174/k/color/35.jpg
spNO.174,m,7,8,45,14,VII,anger,6,0,spNO.174/m/color/8.jpg,spNO.174/m/color/7.jpg,spNO.174/m/color/45.jpg
spNO.175,b,62,65,70,L2+L1,II,disgust,4,0,spNO.175/b/color/65.jpg,spNO.175/b/color/62.jpg,spNO.175/b/color/70.jpg
spNO.175,d,2730,2736,2753,5,II,fear,5,0,spNO.175/d/color/2736.jpg,spNO.175/d/color/2730.jpg,spNO.175/d/color/2753.jpg
spNO.175,f,7,7,42,14,VII,fear,5,0,spNO.175/f/color/7.jpg,spNO.175/f/color/7.jpg,spNO.175/f/color/42.jpg
spNO.175,g,329,335,355,2+1+7,VII,disgust,4,0,spNO.175/g/color/335.jpg,spNO.175/g/color/329.jpg,spNO.175/g/color/355.jpg
spNO.175,k,2169,2177,2186,4,III,disgust,4,0,spNO.175/k/color/2177.jpg,spNO.175/k/color/2169.jpg,spNO.175/k/color/2186.jpg
spNO.176,l,7,14,45,14,VII,anger,6,0,spNO.176/l/color/14.jpg,spNO.176/l/color/7.jpg,spNO.176/l/color/45.jpg
spNO.177,d,4170,4180,4183,5,II,surprise,2,2,spNO.177/d/color/4180.jpg,spNO.177/d/color/4170.jpg,spNO.177/d/color/4183.jpg
spNO.177,k,1333,1341,1369,10,IV,happy,1,1,spNO.177/k/color/1341.jpg,spNO.177/k/color/1333.jpg,spNO.177/k/color/1369.jpg
spNO.178,j,1184,1188,1192,24,VII,happy,1,1,spNO.178/j/color/1188.jpg,spNO.178/j/color/1184.jpg,spNO.178/j/color/1192.jpg
spNO.178,m,33,40,48,4,III,disgust,4,0,spNO.178/m/color/40.jpg,spNO.178/m/color/33.jpg,spNO.178/m/color/48.jpg
spNO.179,b,7,7,57,1,V,disgust,4,0,spNO.179/b/color/7.jpg,spNO.179/b/color/7.jpg,spNO.179/b/color/57.jpg
spNO.179,k,1407,1415,1438,4,III,disgust,4,0,spNO.179/k/color/1415.jpg,spNO.179/k/color/1407.jpg,spNO.179/k/color/1438.jpg
spNO.179,k,1493,1499,1525,2+1,II,surprise,2,2,spNO.179/k/color/1499.jpg,spNO.179/k/color/1493.jpg,spNO.179/k/color/1525.jpg
spNO.179,l,1071,1077,1093,R2+R1,II,sad,3,0,spNO.179/l/color/1077.jpg,spNO.179/l/color/1071.jpg,spNO.179/l/color/1093.jpg
spNO.179,m,1264,1269,1292,4,III,disgust,4,0,spNO.179/m/color/1269.jpg,spNO.179/m/color/1264.jpg,spNO.179/m/color/1292.jpg
spNO.180,b,78,84,94,4,III,disgust,4,0,spNO.180/b/color/84.jpg,spNO.180/b/color/78.jpg,spNO.180/b/color/94.jpg
spNO.180,h,1794,1802,1843,2+1,II,surprise,2,2,spNO.180/h/color/1802.jpg,spNO.180/h/color/1794.jpg,spNO.180/h/color/1843.jpg
spNO.180,j,423,428,448,R2+R1,II,surprise,2,2,spNO.180/j/color/428.jpg,spNO.180/j/color/423.jpg,spNO.180/j/color/448.jpg
spNO.180,j,1670,1676,1686,2+1,II,surprise,2,2,spNO.180/j/color/1676.jpg,spNO.180/j/color/1670.jpg,spNO.180/j/color/1686.jpg
spNO.181,c,1467,1470,1476,5,II,surprise,2,2,spNO.181/c/color/1470.jpg,spNO.181/c/color/1467.jpg,spNO.181/c/color/1476.jpg
spNO.181,d,22,30,36,R2,VII,fear,5,0,spNO.181/d/color/30.jpg,spNO.181/d/color/22.jpg,spNO.181/d/color/36.jpg
spNO.181,d,1023,1030,1097,2+1,II,fear,5,0,spNO.181/d/color/1030.jpg,spNO.181/d/color/1023.jpg,spNO.181/d/color/1097.jpg
spNO.181,d,2376,2383,2390,5,II,fear,5,0,spNO.181/d/color/2383.jpg,spNO.181/d/color/2376.jpg,spNO.181/d/color/2390.jpg
spNO.181,d,3290,3298,3304,5,II,surprise,2,2,spNO.181/d/color/3298.jpg,spNO.181/d/color/3290.jpg,spNO.181/d/color/3304.jpg
spNO.181,e,1655,1662,1720,2+1,II,surprise,2,2,spNO.181/e/color/1662.jpg,spNO.181/e/color/1655.jpg,spNO.181/e/color/1720.jpg
spNO.181,g,958,966,1020,4,III,disgust,4,0,spNO.181/g/color/966.jpg,spNO.181/g/color/958.jpg,spNO.181/g/color/1020.jpg
spNO.181,g,1964,1967,1988,4,III,disgust,4,0,spNO.181/g/color/1967.jpg,spNO.181/g/color/1964.jpg,spNO.181/g/color/1988.jpg
spNO.181,i,3276,3281,3335,2+1,II,surprise,2,2,spNO.181/i/color/3281.jpg,spNO.181/i/color/3276.jpg,spNO.181/i/color/3335.jpg
spNO.181,j,24,32,42,4,III,disgust,4,0,spNO.181/j/color/32.jpg,spNO.181/j/color/24.jpg,spNO.181/j/color/42.jpg
spNO.181,j,258,262,278,R2,VII,surprise,2,2,spNO.181/j/color/262.jpg,spNO.181/j/color/258.jpg,spNO.181/j/color/278.jpg
spNO.181,j,1568,1574,1595,R2,VII,surprise,2,2,spNO.181/j/color/1574.jpg,spNO.181/j/color/1568.jpg,spNO.181/j/color/1595.jpg
spNO.181,k,1288,1296,1313,1,V,surprise,2,2,spNO.181/k/color/1296.jpg,spNO.181/k/color/1288.jpg,spNO.181/k/color/1313.jpg
spNO.181,l,1312,1321,1323,5,II,surprise,2,2,spNO.181/l/color/1321.jpg,spNO.181/l/color/1312.jpg,spNO.181/l/color/1323.jpg
spNO.181,m,34,41,46,4+L2,VII,disgust,4,0,spNO.181/m/color/41.jpg,spNO.181/m/color/34.jpg,spNO.181/m/color/46.jpg
spNO.181,m,423,428,503,2+1,II,surprise,2,2,spNO.181/m/color/428.jpg,spNO.181/m/color/423.jpg,spNO.181/m/color/503.jpg
spNO.181,m,569,577,609,2+1,II,surprise,2,2,spNO.181/m/color/577.jpg,spNO.181/m/color/569.jpg,spNO.181/m/color/609.jpg
spNO.181,m,876,882,928,2+1,II,surprise,2,2,spNO.181/m/color/882.jpg,spNO.181/m/color/876.jpg,spNO.181/m/color/928.jpg
spNO.181,m,1322,1326,1438,4,III,disgust,4,0,spNO.181/m/color/1326.jpg,spNO.181/m/color/1322.jpg,spNO.181/m/color/1438.jpg
spNO.182,a,742,749,769,1,V,surprise,2,2,spNO.182/a/color/749.jpg,spNO.182/a/color/742.jpg,spNO.182/a/color/769.jpg
spNO.182,g,88,96,127,1,V,sad,3,0,spNO.182/g/color/96.jpg,spNO.182/g/color/88.jpg,spNO.182/g/color/127.jpg
spNO.183,j,416,421,438,24,VII,happy,1,1,spNO.183/j/color/421.jpg,spNO.183/j/color/416.jpg,spNO.183/j/color/438.jpg
spNO.183,m,133,137,148,1,V,anger,6,0,spNO.183/m/color/137.jpg,spNO.183/m/color/133.jpg,spNO.183/m/color/148.jpg
spNO.184,c,682,690,698,4,III,disgust,4,0,spNO.184/c/color/690.jpg,spNO.184/c/color/682.jpg,spNO.184/c/color/698.jpg
spNO.184,c,1296,1300,1318,4,III,disgust,4,0,spNO.184/c/color/1300.jpg,spNO.184/c/color/1296.jpg,spNO.184/c/color/1318.jpg
spNO.184,h,1742,1748,1755,4,III,disgust,4,0,spNO.184/h/color/1748.jpg,spNO.184/h/color/1742.jpg,spNO.184/h/color/1755.jpg
spNO.184,h,3411,3414,3417,4,III,disgust,4,0,spNO.184/h/color/3414.jpg,spNO.184/h/color/3411.jpg,spNO.184/h/color/3417.jpg
spNO.184,h,3418,3424,3428,4,III,disgust,4,0,spNO.184/h/color/3424.jpg,spNO.184/h/color/3418.jpg,spNO.184/h/color/3428.jpg
spNO.184,j,227,234,241,4,III,disgust,4,0,spNO.184/j/color/234.jpg,spNO.184/j/color/227.jpg,spNO.184/j/color/241.jpg
spNO.184,j,1324,1330,1343,4,III,disgust,4,0,spNO.184/j/color/1330.jpg,spNO.184/j/color/1324.jpg,spNO.184/j/color/1343.jpg
spNO.184,j,1374,1380,1387,4,III,disgust,4,0,spNO.184/j/color/1380.jpg,spNO.184/j/color/1374.jpg,spNO.184/j/color/1387.jpg
spNO.184,j,1397,1403,1428,4,III,disgust,4,0,spNO.184/j/color/1403.jpg,spNO.184/j/color/1397.jpg,spNO.184/j/color/1428.jpg
spNO.184,j,1917,1925,1976,4,III,disgust,4,0,spNO.184/j/color/1925.jpg,spNO.184/j/color/1917.jpg,spNO.184/j/color/1976.jpg
spNO.184,k,149,154,161,4,III,disgust,4,0,spNO.184/k/color/154.jpg,spNO.184/k/color/149.jpg,spNO.184/k/color/161.jpg
